group,chain_size
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,2
bilingual,1
bilingual,1
bilingual,1
bilingual,5
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,7
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,10
bilingual,1
bilingual,3
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
bilingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,7
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
